URL,ID,Time,X0,X1,X2,X3,X4,X5,Y,Actual
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:05,6,0,0,0,0,0,15:37,56220
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:12,6,6,0,0,0,0,15:30,55800
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:17,6,6,6,0,0,0,15:25,55500
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:21,5,6,6,6,0,0,15:21,55260
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:28,5,5,6,6,6,0,15:14,54840
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:34,6,5,5,6,6,6,15:08,54480
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:39,5,6,5,5,6,6,15:03,54180
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:44,4,5,6,5,5,6,14:58,53880
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:50,6,4,5,6,5,5,14:52,53520
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,0:57,5,6,4,5,6,5,14:45,53100
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:02,6,5,6,4,5,6,14:40,52800
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:08,5,6,5,6,4,5,14:34,52440
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:13,4,5,6,5,6,4,14:29,52140
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:20,5,4,5,6,5,6,14:22,51720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:25,5,5,4,5,6,5,14:17,51420
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:31,5,5,5,4,5,6,14:11,51060
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:37,6,5,5,5,4,5,14:05,50700
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:43,5,6,5,5,5,4,13:59,50340
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:48,5,5,6,5,5,5,13:54,50040
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:54,4,5,5,6,5,5,13:48,49680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,1:59,5,4,5,5,6,5,13:43,49380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:04,6,5,4,5,5,6,13:38,49080
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:08,6,6,5,4,5,5,13:34,48840
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:14,5,6,6,5,4,5,13:28,48480
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:20,5,5,6,6,5,4,13:22,48120
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:27,5,5,5,6,6,5,13:15,47700
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:34,5,5,5,5,6,6,13:08,47280
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:39,5,5,5,5,5,6,13:03,46980
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:45,5,5,5,5,5,5,12:57,46620
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:49,5,5,5,5,5,5,12:53,46380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:54,5,5,5,5,5,5,12:48,46080
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,2:58,5,5,5,5,5,5,12:44,45840
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:03,6,5,5,5,5,5,12:39,45540
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:08,5,6,5,5,5,5,12:34,45240
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:15,4,5,6,5,5,5,12:27,44820
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:21,5,4,5,6,5,5,12:21,44460
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:25,5,5,4,5,6,5,12:17,44220
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:32,6,5,5,4,5,6,12:10,43800
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:39,6,6,5,5,4,5,12:03,43380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:44,5,6,6,5,5,4,11:58,43080
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:50,6,5,6,6,5,5,11:52,42720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,3:57,6,6,5,6,6,5,11:45,42300
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:02,6,6,6,5,6,6,11:40,42000
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:08,5,6,6,6,5,6,11:34,41640
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:12,4,5,6,6,6,5,11:30,41400
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:17,5,4,5,6,6,6,11:25,41100
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:21,6,5,4,5,6,6,11:21,40860
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:28,4,6,5,4,5,6,11:14,40440
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:32,6,4,6,5,4,5,11:10,40200
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:38,5,6,4,6,5,4,11:04,39840
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:44,6,5,6,4,6,5,10:58,39480
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:49,6,6,5,6,4,6,10:53,39180
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,4:55,7,6,6,5,6,4,10:46,38760
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:02,5,7,6,6,5,6,10:40,38400
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:06,6,5,7,6,6,5,10:36,38160
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:10,7,6,5,7,6,6,10:32,37920
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:14,6,7,6,5,7,6,10:28,37680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:20,6,6,7,6,5,7,10:22,37320
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:25,5,6,6,7,6,5,10:17,37020
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:30,6,5,6,6,7,6,10:12,36720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:34,5,6,5,6,6,7,10:08,36480
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:38,5,5,6,5,6,6,10:04,36240
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:44,6,5,5,6,5,6,9:58,35880
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:50,6,6,5,5,6,5,9:52,35520
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,5:55,5,6,6,5,5,6,9:47,35220
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:01,6,5,6,6,5,5,9:41,34860
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:06,5,6,5,6,6,5,9:36,34560
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:12,6,5,6,5,6,6,9:30,34200
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:18,6,6,5,6,5,6,9:24,33840
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:25,6,6,6,5,6,5,9:17,33420
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:31,6,6,6,6,5,6,9:11,33060
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:38,6,6,6,6,6,5,9:04,32640
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:43,6,6,6,6,6,6,8:59,32340
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:49,6,6,6,6,6,6,8:53,31980
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:54,3,6,6,6,6,6,8:48,31680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,6:59,4,3,6,6,6,6,8:43,31380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:05,4,4,3,6,6,6,8:37,31020
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:10,6,4,4,3,6,6,8:32,30720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:17,6,6,4,4,3,6,8:25,30300
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:23,5,6,6,4,4,3,8:19,29940
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:29,6,5,6,6,4,4,8:13,29580
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:35,6,6,5,6,6,4,8:07,29220
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:39,5,6,6,5,6,6,8:03,28980
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:44,5,5,6,6,5,6,7:58,28680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:49,5,5,5,6,6,5,7:53,28380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,7:56,6,5,5,5,6,6,7:46,27960
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:00,5,6,5,5,5,6,7:42,27720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:07,6,5,6,5,5,5,7:35,27300
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:14,6,6,5,6,5,5,7:28,26880
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:20,6,6,6,5,6,5,7:22,26520
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:26,5,6,6,6,5,6,7:16,26160
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:30,6,5,6,6,6,5,7:12,25920
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:35,5,6,5,6,6,6,7:07,25620
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:39,5,5,6,5,6,6,7:03,25380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:44,6,5,5,6,5,6,6:58,25080
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:49,5,6,5,5,6,5,6:53,24780
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:53,7,5,6,5,5,6,6:49,24540
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,8:59,7,7,5,6,5,5,6:43,24180
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:04,6,7,7,5,6,5,6:38,23880
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:11,7,6,7,7,5,6,6:31,23460
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:16,6,7,6,7,7,5,6:26,23160
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:23,5,6,7,6,7,7,6:19,22740
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:30,5,5,6,7,6,7,6:12,22320
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:36,5,5,5,6,7,6,6:06,21960
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:42,5,5,5,5,6,7,6:00,21600
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:47,6,5,5,5,5,6,5:55,21300
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:51,5,6,5,5,5,5,5:51,21060
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,9:55,5,5,6,5,5,5,5:47,20820
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:00,5,5,5,6,5,5,5:42,20520
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:06,6,5,5,5,6,5,5:36,20160
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:10,6,6,5,5,5,6,5:32,19920
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:14,4,6,6,5,5,5,5:28,19680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:21,5,4,6,6,5,5,5:21,19260
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:25,5,5,4,6,6,5,5:17,19020
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:29,5,5,5,4,6,6,5:12,18720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:34,6,5,5,5,4,6,5:08,18480
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:38,7,6,5,5,5,4,5:04,18240
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:42,6,7,6,5,5,5,5:00,18000
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:47,6,6,7,6,5,5,4:55,17700
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:53,6,6,6,7,6,5,4:49,17340
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,10:57,5,6,6,6,7,6,4:45,17100
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:02,6,5,6,6,6,7,4:40,16800
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:07,4,6,5,6,6,6,4:35,16500
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:13,5,4,6,5,6,6,4:29,16140
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:19,5,5,4,6,5,6,4:23,15780
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:25,6,5,5,4,6,5,4:17,15420
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:32,5,6,5,5,4,6,4:10,15000
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:37,5,5,6,5,5,4,4:05,14700
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:42,6,5,5,6,5,5,4:00,14400
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:48,5,6,5,5,6,5,3:54,14040
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:54,6,5,6,5,5,6,3:48,13680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,11:58,6,6,5,6,5,5,3:44,13440
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:04,6,6,6,5,6,5,3:38,13080
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:08,5,6,6,6,5,6,3:34,12840
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:12,5,5,6,6,6,5,3:30,12600
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:19,6,5,5,6,6,6,3:23,12180
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:23,6,6,5,5,6,6,3:19,11940
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:27,6,6,6,5,5,6,3:15,11700
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:32,6,6,6,6,5,5,3:10,11400
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:36,5,6,6,6,6,5,3:06,11160
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:41,5,5,6,6,6,6,3:01,10860
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:47,5,5,5,6,6,6,2:55,10500
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:53,5,5,5,5,6,6,2:49,10140
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,12:59,5,5,5,5,5,6,2:43,9780
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:05,5,5,5,5,5,5,2:37,9420
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:11,5,5,5,5,5,5,2:31,9060
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:17,6,5,5,5,5,5,2:25,8700
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:24,5,6,5,5,5,5,2:18,8280
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:28,6,5,6,5,5,5,2:14,8040
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:34,6,6,5,6,5,5,2:08,7680
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:39,5,6,6,5,6,5,2:03,7380
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:45,6,5,6,6,5,6,1:57,7020
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:50,6,6,5,6,6,5,1:52,6720
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,13:56,5,6,6,5,6,6,1:46,6360
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:00,5,5,6,6,5,6,1:42,6120
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:06,6,5,5,6,6,5,1:36,5760
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:12,5,6,5,5,6,6,1:30,5400
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:16,4,5,6,5,5,6,1:26,5160
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:20,5,4,5,6,5,5,1:22,4920
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:26,6,5,4,5,6,5,1:16,4560
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:33,5,6,5,4,5,6,1:09,4140
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:39,5,5,6,5,4,5,1:03,3780
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:45,7,5,5,6,5,4,0:57,3420
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:49,4,7,5,5,6,5,0:53,3180
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,14:55,5,4,7,5,5,6,0:47,2820
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:01,5,5,4,7,5,5,0:41,2460
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:05,12,5,5,4,5,6,0:37,2220
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:11,10,12,5,10,4,5,0:31,1860
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:16,8,10,6,8,5,4,0:26,1560
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:22,12,8,5,12,5,5,0:20,1200
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:29,7,12,4,7,6,5,0:13,780
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:36,9,7,6,9,5,6,0:06,360
http://a843557e-72dc-476d-9195-4c4f7f374dd9.eastus.azurecontainer.io/score,B,15:42,10,9,5,10,4,5,0:00,0
